City,Population,Car,Transit,log_pop
"Fort Lauderdale, FL",185336,0.9043882022104506,0.06319629731710559,5.267959785658906
"Oceanside, CA",183809,0.9550076850227446,0.028656620744367527,5.264366772309311
"Rancho Cucamonga, CA",170658,0.9662879260831565,0.016216908655491753,5.232126651679525
"Garden Grove, CA",214408,0.9465578629959625,0.02889685890844216,5.331240985736389
"Santa Rosa, CA",185790,0.941054823853803,0.017514106923563276,5.269022334729233
"Eugene, OR",179042,0.8926529349244575,0.03851409190552481,5.252954920525386
"Salem, OR",183854,0.9171016411197521,0.025914773968699848,5.26447308298938
"Elk Grove, CA",168123,0.9703219022024887,0.019652244641591318,5.225627130987345
"Fort Collins, CO",167930,0.9530886357067888,0.018215699888380715,5.225128287982088
"Springfield, MO",199712,0.924303391170861,0.008950901970508728,5.300404160900789
"Lancaster, CA",164508,0.9205002319468069,0.014930457126800951,5.216187022476723
"Pembroke Pines, FL",170482,0.9393897316624431,0.011459356346464663,5.231678531637333
"Jackson, MS",180148,0.9021171584633673,0.009660183673045693,5.255629444955477
"Corona, CA",179396,0.9662035160137102,0.01626377137235655,5.25381275533408
"Clarksville, TN",150761,0.9561353051416696,0.009996913797161352,5.178289009469008
"Palmdale, CA",170048,0.93943579440817,0.023872457706439466,5.230571528394164
"Pasadena, TX",165372,0.940216374050088,0.004596083248985703,5.2184619787661495
"Lakewood, CO",161149,0.9354434072345391,0.047563525083405986,5.20722761486958
"Alexandria, VA",151473,0.9009006361753081,0.2163307081293823,5.180335226923986
"Hayward, CA",163545,0.9405674385007424,0.09159377902147493,5.213637271141508
"Springfield, MA",153991,0.7758266125426941,0.05671673754647796,5.187495339248441
"Pomona, CA",156083,0.9313896648044693,0.030365068048550752,5.193355603842411
"Killeen, TX",141687,0.942414197356187,0.005539744002482662,5.151330004889214
"Sunnyvale, CA",160804,0.9499394428744449,0.05873688693033943,5.206296847623386
"Salinas, CA",156579,0.9473529122875946,0.008526672458636003,5.194733515093053
"Escondido, CA",160926,0.9398445351436717,0.01945359559905643,5.206626216531052
"Bellevue, WA",140847,0.9350621782738674,0.11827348586470346,5.148747601074571
"Kansas City, KS",149791,0.8973395131564541,0.01669127304219475,5.175485720120738
"Hollywood, FL",161591,0.9090023066177187,0.03549875878417721,5.208417168572333
"Joliet, IL",186746,0.9341929526604779,0.022018335823691552,5.2712513082302355
"Charleston, SC",174476,0.923931852393748,0.01564625134164269,5.2417356961410215
"Rockford, IL",167481,0.8860397580983175,0.02339247663438458,5.223965545323954
"Paterson, NJ",146844,0.6765801805920677,0.11689959145765282,5.166856206084382
"McAllen, TX",164166,0.9374824332463361,0.00939555249939171,5.215283216477974
"Murfreesboro, TN",156556,0.9636445788366961,0.004197333100195404,5.194669716583773
"Mesquite, TX",157338,0.9521797805550666,0.007982772296364704,5.1968336253393765
"Torrance, CA",147307,0.9454403599811301,0.020651198856875434,5.168223384922336
"Savannah, GA",181736,0.8913629732238907,0.038823907471659,5.259440965022513
"Bridgeport, CT",147022,0.7884504636892586,0.11931507567484907,5.167382326338055
"Naperville, IL",165646,0.9651080563652357,0.09235019814838373,5.2191809530528595
"Denton, TX",146271,0.950811937246884,0.01652712433620794,5.165158230510801
"Syracuse, NY",145870,0.7195524545405878,0.10761078463256876,5.163965982954884
"Pasadena, CA",145342,0.8945759717314488,0.06251969273788169,5.16239113207155
"Roseville, CA",139265,0.9552622218709244,0.012782418664912483,5.143841983496664
"Fullerton, CA",152846,0.9429379573264466,0.028841633791980327,5.1842540776668935
"Surprise, AZ",145620,0.9664153153482924,0.0016490083602522024,5.163221026715578
"West Valley City, UT",142735,0.960390906498691,0.028866745989500057,5.154530479373114
"Columbia, SC",168212,0.8999282692392148,0.020701264888398022,5.2258569745052155
"Thornton, CO",157906,0.9660474421263218,0.03222555816185524,5.198398632334987
"Orange, CA",154472,0.9625465085205666,0.019615985470777135,5.188849769537386
"Olathe, KS",133948,0.9649886816858898,0.0036901427508562465,5.126936233469063
"Waco, TX",147579,0.9099785055921892,0.007116226942097196,5.1690245632256735
"Dayton, OH",169547,0.808435622878036,0.06379887699631095,5.2292901096848965
"Carrollton, TX",147142,0.9711811813671751,0.01710220098722536,5.167736654812779
"Cedar Rapids, IA",143471,0.9363696124867261,0.013447859079308658,5.1567641253712955
"Midland, TX",135809,0.9606950677414552,0.002270706203679264,5.132928551393835
"Stamford, CT",127410,0.8975014672591599,0.1453158892724596,5.1052035157103415
"Warren, MI",134964,0.9159793330201973,0.012510908317363156,5.130217941188838
"Visalia, CA",132723,0.9242162087341684,0.012599866102360944,5.122946189688402
"Gainesville, FL",140034,0.8862469053689539,0.07652026286993069,5.146233494390089
"Hampton, VA",136428,0.9190744984071983,0.027639960764894344,5.134903512531201
"Miramar, FL",135310,0.9753192783296168,0.018493446231431815,5.13132989404281
"Kent, WA",138108,0.9327058222241151,0.07622821973067574,5.1402188361110435
"New Haven, CT",130405,0.7140972333280026,0.1432778411729566,5.115294243472432
"Sterling Heights, MI",131674,0.949451300397958,0.0051979125632738805,5.11950002878664
"Lafayette, LA",150445,0.9214707835890799,0.00809728160200279,5.17737775865308
"Fargo, ND",130539,0.9240273303359648,0.010999524473448714,5.1157402814398925
"Elizabeth, NJ",128042,0.7582862570614408,0.10810525886430944,5.107352449150477
"Pearland, TX",140557,0.9829935588103994,0.004661563611641453,5.147852479154927
"Santa Clara, CA",127917,0.9452218764282139,0.03831991219150552,5.106928265476111
"Thousand Oaks, CA",135773,0.9629637246031093,0.010743184001556936,5.132813414150276
"Provo, UT",111862,0.9553215796461543,0.0264807724429531,5.0486825798876245
"Victorville, CA",128495,0.9359006628072825,0.008692496491362788,5.108886228720565
"Simi Valley, CA",129057,0.9654295294253671,0.01345991824478636,5.110781565477532
"Coral Springs, FL",136097,0.9516710802666423,0.011845538350655934,5.133848552111451
"Hartford, CT",124320,0.6683389682626241,0.15666976946428754,5.094541001456839
"Wilmington, NC",125238,0.9205704553536337,0.014402045700503453,5.09773612349375
"Concord, CA",135088,0.9349968115524654,0.09935506907318871,5.130616771929145
"Topeka, KS",138341,0.9056012187345001,0.013973077418561287,5.140950910658205
"Norman, OK",125392,0.9522527598656065,0.008347165571505643,5.098269829423847
"Allentown, PA",119624,0.8136422819115591,0.06277953608220316,5.077818320303837
"Arvada, CO",126272,0.9638702749995028,0.02608741032242069,5.1013070592360785
"Columbia, MO",130859,0.9300129711582481,0.01245905105462351,5.116803597177832
"Ann Arbor, MI",117739,0.8783151980208399,0.11422780347303688,5.070920342871375
"Rochester, MN",112897,0.9189765458422174,0.06333710677099318,5.052682401617118
"Round Rock, TX",134061,0.9680188481186872,0.0085188017356171,5.127302454598675
"Abilene, TX",118005,0.944288996564981,0.00860833832660048,5.071900409224813
"Vallejo, CA",124856,0.9216152019002375,0.04267237975769967,5.09640941736642
"Sugar Land, TX",135420,0.9769720160435204,0.02098057182615985,5.131682809461406
"Richardson, TX",114049,0.9580164283541223,0.020966510122622163,5.0570914816654
"West Jordan, UT",116046,0.9773867863257956,0.023210640246746322,5.064630175314412
"Independence, MO",118950,0.9308598615563678,0.007183681721954576,5.075364446373285
"Evansville, IN",124709,0.8919835676327592,0.033354293994524574,5.095897796776811
"Beaumont, TX",119093,0.8977289882890849,0.008873696712731157,5.075886235448224
"North Charleston, SC",135111,0.9056071902767848,0.03225279458298971,5.130690708347177
"Palm Bay, FL",109257,0.9513630573248407,0.0019529515509436215,5.038449271399752
"Westminster, CO",131990,0.9582178338020759,0.04159788753217087,5.120541028862419
"Berkeley, CA",118585,0.7872090238007099,0.22149858702294617,5.074029757921831
"Cambridge, MA",105834,0.6865760857070603,0.2866773967660014,5.024625210612988
"Clearwater, FL",130458,0.8881155925763554,0.03030848290653246,5.115470716240572
"Lansing, MI",129744,0.8846365739890549,0.04346279633520644,5.113087283074313
"Billings, MT",112526,0.9389646956898419,0.011892923078828435,5.051252881131086
"Gresham, OR",120640,0.9010444783476118,0.08360944996529839,5.081491328525699
"Fairfield, CA",107577,0.9389791183294663,0.02158430176740454,5.031719428943667
"Lewisville, TX",117311,0.9599341759422211,0.010119597849420186,5.0693387368838
"Meridian, ID",110919,0.9755890741835188,0.001976829125352395,5.045005945503376
"College Station, TX",103084,0.9490879789026445,0.03504017328002484,5.013191262267527
"Costa Mesa, CA",125110,0.9552076677316294,0.02611683181859603,5.097292024091896
"Elgin, IL",145342,0.9528423635940508,0.026446022004924543,5.16239113207155
"Clovis, CA",108503,0.9464228510411106,0.004708580200564892,5.035441746160897
"Odessa, TX",116690,0.9531067985228145,0.005458959614660498,5.067033639842262
"El Monte, CA",121765,0.9039615846338536,0.047090546674297455,5.085522473097865
"Downey, CA",113191,0.9549931391980485,0.031138039967356874,5.053811896766346
"Manchester, NH",110231,0.8981395554377126,0.013733238563114064,5.0423037472894485
"Broken Arrow, OK",118856,0.9735125564925686,0.0012766145411082846,5.075021110347911
"Springfield, IL",141687,0.9045075453458079,0.0252868763134306,5.151330004889214
"Murrieta, CA",114055,0.9777001455604075,0.0025769243994164365,5.0571143288481935
"Everett, WA",125301,0.8949753816361427,0.06083222965398591,5.097954537017685
"Carlsbad, CA",117162,0.9690519222616418,0.017819096374825892,5.068786776645189
"Greeley, CO",103151,0.9303325532030697,0.0064749999226899994,5.013473442608508
"Pueblo, CO",107720,0.8874024782010096,0.01879381577201423,5.032296344739473
"High Point, NC",122481,0.9155430146900444,0.010969826159482561,5.088068723515719
"Temecula, CA",121744,0.9778539125668083,0.0021651307842673584,5.085447566756476
"League City, TX",115413,0.9794955366915574,0.012668617441142135,5.062254730052665
"San Buenaventura (Ventura), CA",110268,0.9338233492588509,0.020027648985674145,5.04244949757386
"West Palm Beach, FL",124165,0.9041536145803669,0.030317114681163854,5.093999192869392
"Miami Gardens, FL",123575,0.9190234677211382,0.06720113856634104,5.091930619132814
"Lakeland, FL",137812,0.9202688403809225,0.00884652504723386,5.139287035473484
"Peoria, IL",117414,0.8666792817795719,0.04588073411262844,5.069719883625794
"Pompano Beach, FL",102741,0.8989970994543041,0.04327027390916373,5.011743788489431
"Lowell, MA",109871,0.8249386859429456,0.03795069777178712,5.040883077300947
"West Covina, CA",122022,0.9603399433427762,0.03617122217125597,5.086438139012748
"Inglewood, CA",119169,0.9110234607109927,0.07169793735018559,5.076163295002362
"Waterbury, CT",109211,0.7977349943374858,0.056741252538697676,5.038266383778107
"Sandy Springs, GA",106187,0.9248280559889253,0.07442195561112339,5.026071351266661
"Antioch, CA",109648,0.9422077350013215,0.0747352491109907,5.04000071447332
"Richmond, CA",123648,0.9003175512737865,0.13635907992011229,5.092187096063362
"Tyler, TX",114475,0.9439011591852311,0.004307599567053483,5.058710652199735
"Allen, TX",92642,0.9863109512390088,0.01630222667909105,4.966807922242471
"Jurupa Valley, CA",111292,0.9563403683670945,0.01522450363855517,5.0464639470775134
"Green Bay, WI",113776,0.9122609673790776,0.014062075712365976,5.056050661296192
"Boulder, CO",112620,0.9192078513845076,0.07916565755736235,5.0516155230049895
"Norwalk, CA",107142,0.9424135291759304,0.02895374303103917,5.02995974900769
"Hillsboro, OR",109945,0.9305611022364217,0.0650753778426243,5.041175483612361
"Las Cruces, NM",113667,0.9328989199792563,0.0036218034982774985,5.055634397861824
"Renton, WA",115941,0.9322525902107895,0.06756055274440705,5.064237041874057
"Santa Maria, CA",104732,0.9290613020082299,0.017533532157252223,5.020079397056904
"Sparks, NV",107605,0.9219849401308481,0.018821457260580945,5.0318324518318445
"Burbank, CA",104583,0.9204280389563545,0.023837246397507065,5.019461095561706
"Centennial, CO",133712,0.9781249355098335,0.027869528891681903,5.126170384823099
